Record_Date,Company_Name,Job_Role,Experience_Level,City,Salary_INR,Demand_Index,Remote_Option_Flag,Salary_Trend_Pct,Skills_Required
2015-12-02,BYJU'S,Backend Developer,0-1 years,Gurugram,493970,49,0,-1.54,"Python, Java, SQL, APIs"
2015-12-02,Adani Enterprises,Cybersecurity Analyst,8-12 years,Bangalore,2497477,59,0,7.07,"Communication, Problem Solving, Team Work"
2015-12-02,Hindustan Unilever,Machine Learning Engineer,5-8 years,Noida,744859,64,0,-2.02,"Communication, Problem Solving, Team Work"
2015-12-02,Mahindra & Mahindra,HR Manager,0-1 years,Ahmedabad,439455,48,1,-3.91,"Communication, Problem Solving, Team Work"
2015-12-03,State Bank of India,Finance Analyst,3-5 years,Pune,543625,32,0,-4.1,"Communication, Problem Solving, Team Work"
2015-12-03,Tata Consultancy Services,Product Manager,3-5 years,Pune,1734194,53,0,11.19,"Communication, Problem Solving, Team Work"
2015-12-03,Reliance Industries,Cybersecurity Analyst,5-8 years,Noida,1559679,25,1,4.61,"Communication, Problem Solving, Team Work"
2015-12-03,Amazon India,Business Analyst,1-3 years,Pune,986445,86,1,-4.26,"Excel, SQL, Power BI, Business Intelligence"
2015-12-03,PhonePe,DevOps Engineer,0-1 years,Noida,649239,12,0,10.8,"Linux, Docker, Kubernetes, AWS"
2015-12-04,Mahindra & Mahindra,Business Analyst,3-5 years,Bangalore,1182930,23,1,2.6,"Excel, SQL, Power BI, Business Intelligence"
2015-12-04,Mahindra & Mahindra,Product Manager,0-1 years,Chennai,1294451,93,1,8.14,"Communication, Problem Solving, Team Work"
2015-12-04,Kotak Mahindra Bank,Frontend Developer,0-1 years,Pune,415760,89,1,9.26,"HTML, CSS, JavaScript, UI/UX"
2015-12-04,HDFC Bank,Machine Learning Engineer,5-8 years,Ahmedabad,1356044,76,0,11.18,"Communication, Problem Solving, Team Work"
2015-12-04,Accenture India,Product Manager,0-1 years,Hyderabad,3284335,80,0,-4.18,"Communication, Problem Solving, Team Work"
2015-12-04,Larsen & Toubro,Data Scientist,12+ years,Bangalore,563743,64,0,5.74,"Python, Machine Learning, Pandas, NumPy"
2015-12-05,Bharat Petroleum,Business Analyst,3-5 years,Ahmedabad,595940,84,0,10.22,"Excel, SQL, Power BI, Business Intelligence"
2015-12-05,Aditya Birla Group,Machine Learning Engineer,8-12 years,Noida,1132457,57,1,6.84,"Communication, Problem Solving, Team Work"
2015-12-05,Aditya Birla Group,DevOps Engineer,5-8 years,Bangalore,1485079,15,0,1.59,"Linux, Docker, Kubernetes, AWS"
2015-12-05,Accenture India,Data Scientist,5-8 years,Noida,2222964,15,0,3.17,"Python, Machine Learning, Pandas, NumPy"
2015-12-05,Tata Consultancy Services,Operations Manager,5-8 years,Pune,1854873,44,1,-4.42,"Communication, Problem Solving, Team Work"
2015-12-05,Axis Bank,Backend Developer,8-12 years,Ahmedabad,1522271,37,0,4.08,"Python, Java, SQL, APIs"
2015-12-05,Tech Mahindra,Cybersecurity Analyst,0-1 years,Mumbai,1642920,64,1,10.15,"Communication, Problem Solving, Team Work"
2015-12-05,Indian Oil Corporation,Frontend Developer,5-8 years,Chennai,565930,80,0,9.47,"HTML, CSS, JavaScript, UI/UX"
2015-12-05,Accenture India,DevOps Engineer,1-3 years,Delhi,670295,16,0,6.07,"Linux, Docker, Kubernetes, AWS"
2015-12-05,Aditya Birla Group,Machine Learning Engineer,8-12 years,Gurugram,1157617,57,0,-3.91,"Communication, Problem Solving, Team Work"
2015-12-05,PhonePe,Software Engineer,5-8 years,Delhi,590877,76,1,2.49,"Java, Python, Data Structures, OOPs"
2015-12-05,Capgemini India,Operations Manager,0-1 years,Hyderabad,687592,90,1,4.04,"Communication, Problem Solving, Team Work"
2015-12-06,ICICI Bank,Software Engineer,3-5 years,Pune,361247,73,0,6.57,"Java, Python, Data Structures, OOPs"
2015-12-06,Accenture India,Product Manager,8-12 years,Chennai,2161950,50,0,2.35,"Communication, Problem Solving, Team Work"
2015-12-06,BYJU'S,Finance Analyst,8-12 years,Noida,879041,19,0,-3.6,"Communication, Problem Solving, Team Work"
2015-12-06,State Bank of India,DevOps Engineer,0-1 years,Ahmedabad,1835444,24,1,2.3,"Linux, Docker, Kubernetes, AWS"
2015-12-06,Tech Mahindra,Operations Manager,0-1 years,Delhi,1544113,91,1,-1.77,"Communication, Problem Solving, Team Work"
2015-12-06,BYJU'S,Data Scientist,12+ years,Bangalore,2247538,66,0,-0.43,"Python, Machine Learning, Pandas, NumPy"
2015-12-06,Reliance Industries,Product Manager,1-3 years,Chennai,3448439,53,0,-3.94,"Communication, Problem Solving, Team Work"
2015-12-06,Paytm,Finance Analyst,8-12 years,Hyderabad,447493,52,0,-4.74,"Communication, Problem Solving, Team Work"
2015-12-06,Jio Platforms,Data Scientist,12+ years,Chennai,1147031,41,0,-1.04,"Python, Machine Learning, Pandas, NumPy"
2015-12-07,Bharat Petroleum,Operations Manager,0-1 years,Ahmedabad,560603,49,0,-0.44,"Communication, Problem Solving, Team Work"
2015-12-07,Aditya Birla Group,UI/UX Designer,1-3 years,Mumbai,708906,84,1,2.0,"Communication, Problem Solving, Team Work"
2015-12-07,Reliance Industries,Backend Developer,1-3 years,Delhi,506832,76,1,-2.24,"Python, Java, SQL, APIs"
2015-12-07,Paytm,HR Manager,8-12 years,Chennai,1146414,25,1,-0.26,"Communication, Problem Solving, Team Work"
2015-12-07,State Bank of India,Cloud Architect,1-3 years,Kolkata,1606748,83,0,8.14,"Communication, Problem Solving, Team Work"
2015-12-07,Tata Motors,Business Analyst,8-12 years,Pune,1114759,99,0,9.85,"Excel, SQL, Power BI, Business Intelligence"
2015-12-07,ICICI Bank,Machine Learning Engineer,8-12 years,Mumbai,1515850,30,0,0.01,"Communication, Problem Solving, Team Work"
2015-12-08,State Bank of India,Backend Developer,3-5 years,Pune,483963,45,1,-1.01,"Python, Java, SQL, APIs"
2015-12-08,Infosys,Business Analyst,0-1 years,Bangalore,477885,17,0,6.69,"Excel, SQL, Power BI, Business Intelligence"
2015-12-08,Axis Bank,Backend Developer,8-12 years,Mumbai,1044048,97,0,5.16,"Python, Java, SQL, APIs"
2015-12-08,Capgemini India,Cloud Architect,5-8 years,Chennai,4468764,59,0,9.63,"Communication, Problem Solving, Team Work"
2015-12-08,Swiggy,DevOps Engineer,8-12 years,Kolkata,2044129,91,0,-3.6,"Linux, Docker, Kubernetes, AWS"
2015-12-08,IBM India,Finance Analyst,0-1 years,Delhi,555565,50,0,5.75,"Communication, Problem Solving, Team Work"
2015-12-08,Swiggy,HR Manager,1-3 years,Ahmedabad,1147203,75,0,11.92,"Communication, Problem Solving, Team Work"
2015-12-09,Flipkart,Backend Developer,1-3 years,Kolkata,546351,57,1,0.21,"Python, Java, SQL, APIs"
2015-12-10,Paytm,Data Scientist,12+ years,Gurugram,2105328,24,0,3.34,"Python, Machine Learning, Pandas, NumPy"
2015-12-10,Maruti Suzuki,Digital Marketing Specialist,1-3 years,Kolkata,866664,33,1,-1.33,"Communication, Problem Solving, Team Work"
2015-12-10,Indian Oil Corporation,Backend Developer,5-8 years,Bangalore,435210,62,0,10.33,"Python, Java, SQL, APIs"
2015-12-10,IBM India,Cloud Architect,0-1 years,Gurugram,2513136,87,1,-0.11,"Communication, Problem Solving, Team Work"
2015-12-10,Bharat Petroleum,UI/UX Designer,3-5 years,Gurugram,1030324,79,1,-2.32,"Communication, Problem Solving, Team Work"
2015-12-10,IBM India,UI/UX Designer,5-8 years,Gurugram,704302,14,0,4.38,"Communication, Problem Solving, Team Work"
2015-12-10,Deloitte India,Data Analyst,8-12 years,Mumbai,710306,74,0,4.15,"SQL, Excel, Power BI, Python"
2015-12-10,Aditya Birla Group,Machine Learning Engineer,0-1 years,Mumbai,2731285,29,1,-4.87,"Communication, Problem Solving, Team Work"
2015-12-10,Tata Motors,Cloud Architect,5-8 years,Noida,3096034,31,1,0.17,"Communication, Problem Solving, Team Work"
2015-12-10,Infosys,Cloud Architect,0-1 years,Hyderabad,2750524,62,0,5.61,"Communication, Problem Solving, Team Work"
2015-12-10,Zomato,Software Engineer,8-12 years,Hyderabad,805361,45,0,7.0,"Java, Python, Data Structures, OOPs"
2015-12-11,State Bank of India,Data Analyst,1-3 years,Bangalore,421576,36,0,-2.21,"SQL, Excel, Power BI, Python"
2015-12-11,Tech Mahindra,Data Scientist,0-1 years,Gurugram,2219892,33,1,2.4,"Python, Machine Learning, Pandas, NumPy"
2015-12-11,HCL Technologies,Frontend Developer,12+ years,Chennai,1092313,49,0,0.71,"HTML, CSS, JavaScript, UI/UX"
2015-12-11,Amazon India,Machine Learning Engineer,12+ years,Hyderabad,2027439,78,1,-4.4,"Communication, Problem Solving, Team Work"
2015-12-11,Capgemini India,Cybersecurity Analyst,3-5 years,Chennai,1758518,87,1,3.12,"Communication, Problem Solving, Team Work"
2015-12-11,Amazon India,Digital Marketing Specialist,3-5 years,Hyderabad,874625,13,0,2.01,"Communication, Problem Solving, Team Work"
2015-12-11,Indian Oil Corporation,DevOps Engineer,1-3 years,Delhi,1345310,27,1,-3.07,"Linux, Docker, Kubernetes, AWS"
2015-12-12,Indian Oil Corporation,Frontend Developer,12+ years,Ahmedabad,537671,63,0,4.0,"HTML, CSS, JavaScript, UI/UX"
2015-12-12,PhonePe,Digital Marketing Specialist,12+ years,Noida,797938,79,1,3.58,"Communication, Problem Solving, Team Work"
2015-12-12,Flipkart,DevOps Engineer,12+ years,Ahmedabad,2007796,10,1,6.82,"Linux, Docker, Kubernetes, AWS"
2015-12-12,Reliance Industries,Digital Marketing Specialist,5-8 years,Noida,440845,87,1,10.53,"Communication, Problem Solving, Team Work"
2015-12-12,Mahindra & Mahindra,Business Analyst,0-1 years,Kolkata,798048,81,0,1.06,"Excel, SQL, Power BI, Business Intelligence"
2015-12-12,Mahindra & Mahindra,Data Scientist,1-3 years,Bangalore,1486144,81,1,-4.91,"Python, Machine Learning, Pandas, NumPy"
2015-12-12,Deloitte India,Product Manager,12+ years,Delhi,2312056,91,0,-2.2,"Communication, Problem Solving, Team Work"
2015-12-12,Paytm,HR Manager,5-8 years,Bangalore,1070840,33,1,9.4,"Communication, Problem Solving, Team Work"
2015-12-12,Mahindra & Mahindra,Operations Manager,0-1 years,Chennai,1889251,81,1,-1.07,"Communication, Problem Solving, Team Work"
2015-12-12,IBM India,Product Manager,1-3 years,Pune,3203493,27,0,-1.42,"Communication, Problem Solving, Team Work"
2015-12-12,Infosys,HR Manager,3-5 years,Pune,942057,98,0,9.66,"Communication, Problem Solving, Team Work"
2015-12-12,Capgemini India,UI/UX Designer,12+ years,Hyderabad,1188224,49,0,10.86,"Communication, Problem Solving, Team Work"
2015-12-13,Bharat Petroleum,Data Scientist,0-1 years,Mumbai,815657,70,0,0.92,"Python, Machine Learning, Pandas, NumPy"
2015-12-13,BYJU'S,Data Scientist,5-8 years,Mumbai,1593015,48,0,0.83,"Python, Machine Learning, Pandas, NumPy"
2015-12-13,HCL Technologies,Business Analyst,8-12 years,Chennai,418605,31,0,2.18,"Excel, SQL, Power BI, Business Intelligence"
2015-12-13,PhonePe,Digital Marketing Specialist,0-1 years,Noida,974154,59,1,8.93,"Communication, Problem Solving, Team Work"
2015-12-13,Infosys,Cybersecurity Analyst,12+ years,Ahmedabad,1182016,56,0,10.28,"Communication, Problem Solving, Team Work"
2015-12-13,Infosys,Machine Learning Engineer,0-1 years,Noida,1060476,34,1,7.1,"Communication, Problem Solving, Team Work"
2015-12-13,Accenture India,Data Scientist,12+ years,Chennai,1603777,98,1,6.87,"Python, Machine Learning, Pandas, NumPy"
2015-12-13,Tata Motors,HR Manager,0-1 years,Delhi,1677266,25,0,-3.05,"Communication, Problem Solving, Team Work"
2015-12-13,Tata Consultancy Services,Software Engineer,0-1 years,Delhi,493140,25,0,4.2,"Java, Python, Data Structures, OOPs"
2015-12-13,Wipro,DevOps Engineer,3-5 years,Pune,2052227,55,0,5.81,"Linux, Docker, Kubernetes, AWS"
2015-12-14,Amazon India,Cybersecurity Analyst,5-8 years,Chennai,1233281,25,0,7.39,"Communication, Problem Solving, Team Work"
2015-12-14,Accenture India,Data Scientist,1-3 years,Noida,1970576,99,1,6.7,"Python, Machine Learning, Pandas, NumPy"
2015-12-14,Swiggy,Machine Learning Engineer,12+ years,Mumbai,1747382,84,0,5.16,"Communication, Problem Solving, Team Work"
2015-12-14,ICICI Bank,Machine Learning Engineer,5-8 years,Gurugram,1041787,80,0,5.13,"Communication, Problem Solving, Team Work"
2015-12-14,Jio Platforms,Data Analyst,12+ years,Ahmedabad,619129,66,1,8.76,"SQL, Excel, Power BI, Python"
2015-12-14,State Bank of India,Backend Developer,8-12 years,Chennai,1519299,19,0,-2.64,"Python, Java, SQL, APIs"
2015-12-14,Capgemini India,Data Analyst,1-3 years,Gurugram,311168,10,1,8.38,"SQL, Excel, Power BI, Python"
2015-12-14,Paytm,Operations Manager,8-12 years,Ahmedabad,1457716,88,0,-3.38,"Communication, Problem Solving, Team Work"
2015-12-14,Paytm,Digital Marketing Specialist,1-3 years,Ahmedabad,327889,87,0,11.96,"Communication, Problem Solving, Team Work"
2015-12-15,Reliance Industries,Cloud Architect,5-8 years,Hyderabad,3813558,80,0,11.42,"Communication, Problem Solving, Team Work"
2015-12-15,Aditya Birla Group,Operations Manager,0-1 years,Gurugram,1213070,12,0,6.88,"Communication, Problem Solving, Team Work"
2015-12-15,Adani Enterprises,UI/UX Designer,3-5 years,Mumbai,1052562,48,1,1.48,"Communication, Problem Solving, Team Work"
2015-12-15,Reliance Industries,Software Engineer,8-12 years,Ahmedabad,737027,80,1,0.97,"Java, Python, Data Structures, OOPs"
2015-12-15,Aditya Birla Group,Data Analyst,8-12 years,Mumbai,735958,99,1,9.14,"SQL, Excel, Power BI, Python"
2015-12-15,Hindustan Unilever,Software Engineer,12+ years,Pune,971998,83,1,2.08,"Java, Python, Data Structures, OOPs"
2015-12-15,PhonePe,Frontend Developer,3-5 years,Pune,797653,62,0,0.38,"HTML, CSS, JavaScript, UI/UX"
2015-12-16,Maruti Suzuki,Data Scientist,3-5 years,Noida,1055395,52,1,-3.12,"Python, Machine Learning, Pandas, NumPy"
2015-12-16,Adani Enterprises,Backend Developer,1-3 years,Delhi,677311,65,0,9.07,"Python, Java, SQL, APIs"
2015-12-16,Flipkart,HR Manager,0-1 years,Chennai,1455970,59,0,-4.03,"Communication, Problem Solving, Team Work"
2015-12-16,IBM India,Product Manager,8-12 years,Chennai,2852211,89,1,-2.35,"Communication, Problem Solving, Team Work"
2015-12-16,Zomato,HR Manager,0-1 years,Delhi,1298615,40,0,7.49,"Communication, Problem Solving, Team Work"
2015-12-17,Tech Mahindra,UI/UX Designer,3-5 years,Delhi,846661,29,1,7.97,"Communication, Problem Solving, Team Work"
2015-12-17,Amazon India,Business Analyst,5-8 years,Delhi,1033068,73,1,7.75,"Excel, SQL, Power BI, Business Intelligence"
2015-12-17,Bharat Petroleum,Backend Developer,5-8 years,Pune,1581249,21,1,-2.06,"Python, Java, SQL, APIs"
2015-12-17,Zomato,Cybersecurity Analyst,5-8 years,Pune,2161859,80,0,11.39,"Communication, Problem Solving, Team Work"
2015-12-17,HCL Technologies,DevOps Engineer,8-12 years,Kolkata,1597114,72,1,-2.07,"Linux, Docker, Kubernetes, AWS"
2015-12-17,IBM India,Business Analyst,3-5 years,Pune,1126771,18,1,10.6,"Excel, SQL, Power BI, Business Intelligence"
2015-12-18,Wipro,Machine Learning Engineer,0-1 years,Pune,672040,18,1,2.58,"Communication, Problem Solving, Team Work"
2015-12-18,Adani Enterprises,Data Analyst,12+ years,Gurugram,701561,27,0,-4.21,"SQL, Excel, Power BI, Python"
2015-12-18,State Bank of India,HR Manager,1-3 years,Delhi,1778009,34,0,4.81,"Communication, Problem Solving, Team Work"
2015-12-18,Zomato,Machine Learning Engineer,0-1 years,Ahmedabad,2572327,60,1,4.81,"Communication, Problem Solving, Team Work"
2015-12-18,BYJU'S,Frontend Developer,1-3 years,Pune,658002,73,0,5.1,"HTML, CSS, JavaScript, UI/UX"
2015-12-18,HCL Technologies,DevOps Engineer,5-8 years,Noida,1024333,49,1,-3.76,"Linux, Docker, Kubernetes, AWS"
2015-12-18,Deloitte India,Machine Learning Engineer,1-3 years,Noida,1926819,82,1,-3.12,"Communication, Problem Solving, Team Work"
2015-12-18,Wipro,Data Scientist,8-12 years,Ahmedabad,1757456,26,1,6.49,"Python, Machine Learning, Pandas, NumPy"
2015-12-18,Indian Oil Corporation,DevOps Engineer,5-8 years,Ahmedabad,1457493,28,1,0.74,"Linux, Docker, Kubernetes, AWS"
2015-12-19,Axis Bank,Business Analyst,5-8 years,Pune,800399,24,0,1.93,"Excel, SQL, Power BI, Business Intelligence"
2015-12-19,Tata Consultancy Services,Product Manager,12+ years,Delhi,1958349,10,1,9.59,"Communication, Problem Solving, Team Work"
2015-12-19,Accenture India,HR Manager,8-12 years,Noida,469280,11,1,8.08,"Communication, Problem Solving, Team Work"
2015-12-19,Deloitte India,HR Manager,8-12 years,Hyderabad,897441,37,0,-2.61,"Communication, Problem Solving, Team Work"
2015-12-19,Axis Bank,Product Manager,0-1 years,Hyderabad,3760971,46,1,3.6,"Communication, Problem Solving, Team Work"
